; CSV, generated by libsigrok4DSL 0.2.0 on Fri May 14 15:09:31 2021
; Channels (2/2)
; Sample rate: 5 MHz
; Sample count: 10 k Samples
; Head: 1kHz
I[A], Ue[V]
8.819,2.874
8.819,2.874
8.819,2.874
8.898,2.913
8.898,2.874
8.898,2.835
8.898,2.795
8.898,2.795
8.898,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
9.055,2.795
8.976,2.795
9.055,2.795
9.055,2.795
9.055,2.835
9.055,2.795
9.055,2.795
8.976,2.795
9.055,2.835
9.055,2.795
9.055,2.795
9.055,2.795
9.055,2.795
9.134,2.795
9.055,2.795
9.055,2.795
9.134,2.795
9.134,2.756
9.134,2.756
9.134,2.756
9.134,2.756
9.134,2.756
9.134,2.756
9.134,2.756
9.134,2.756
9.134,2.756
9.134,2.717
9.134,2.756
9.134,2.756
9.134,2.756
9.055,2.795
9.134,2.795
9.134,2.756
9.055,2.756
9.134,2.756
9.134,2.717
9.134,2.756
9.134,2.795
9.134,2.717
9.055,2.756
9.134,2.756
9.134,2.717
9.134,2.717
9.055,2.677
9.055,2.638
9.055,2.717
9.134,2.756
9.055,2.756
9.055,2.756
9.055,2.717
9.055,2.717
9.055,2.638
9.055,2.717
9.055,2.717
9.055,2.677
9.055,2.717
8.976,2.717
9.055,2.677
8.976,2.717
8.976,2.717
8.976,2.717
8.976,2.717
8.976,2.795
8.976,2.638
8.976,2.717
8.898,2.717
8.976,2.717
8.898,2.756
8.898,2.717
8.976,2.717
8.898,2.717
8.898,2.717
8.898,2.638
8.898,2.717
8.898,2.677
8.819,2.717
8.898,2.717
8.819,2.717
8.819,2.677
8.819,2.717
8.740,2.677
8.740,2.677
8.661,2.717
8.740,2.677
8.661,2.677
8.661,2.638
8.661,2.677
8.661,2.717
8.661,2.638
8.583,2.677
8.504,2.638
8.583,2.677
8.504,2.717
8.425,2.717
8.346,2.717
8.346,2.717
8.346,2.717
8.268,2.717
8.268,2.717
8.189,2.717
8.110,2.717
8.031,2.717
7.953,2.677
7.953,2.717
7.953,2.638
7.874,2.638
7.795,2.598
7.717,2.677
7.717,2.638
7.638,2.638
7.638,2.677
7.559,2.638
7.559,2.638
7.480,2.638
7.402,2.638
7.402,2.638
7.323,2.638
7.323,2.638
7.244,2.638
7.244,2.638
7.165,2.638
7.087,2.638
7.087,2.638
7.087,2.638
7.008,2.638
6.929,2.717
6.850,2.638
6.850,2.717
6.772,2.677
6.772,2.638
6.693,2.677
6.693,2.638
6.693,2.638
6.614,2.638
6.693,2.638
6.614,2.638
6.535,2.638
6.535,2.638
6.457,2.638
6.457,2.638
6.457,2.638
6.457,2.638
