; CSV, generated by libsigrok4DSL 0.2.0 on Fri May 14 15:20:21 2021
; Channels (2/2)
; Sample rate: 50 MHz
; Sample count: 10 k Samples
I[A], Ue[V]
-0.472,1.969
-0.472,1.969
-0.472,1.969
-0.472,1.929
-0.472,1.969
-0.472,1.929
-0.472,1.969
-0.472,1.969
-0.472,1.969
-0.551,1.969
-0.472,1.969
-0.472,1.969
-0.472,1.969
-0.551,1.969
-0.472,1.969
-0.472,1.969
-0.551,1.969
-0.551,1.969
-0.472,1.969
-0.472,1.969
-0.472,1.969
-0.472,1.969
-0.551,1.969
-0.551,1.969
-0.472,1.969
-0.551,1.969
-0.551,1.969
-0.551,1.969
-0.551,1.969
-0.551,1.969
-0.551,1.969
-0.551,2.008
-0.551,1.969
-0.472,2.008
-0.551,1.969
-0.551,1.929
-0.551,1.969
-0.551,1.969
-0.551,1.969
-0.551,1.969
-0.551,1.969
-0.551,1.969
-0.551,1.969
-0.551,1.969
-0.551,1.969
-0.551,1.969
-0.551,1.969
-0.551,2.008
-0.551,2.008
-0.551,2.047
-0.551,2.126
-0.551,2.205
-0.551,2.323
-0.551,2.402
-0.551,2.480
-0.551,2.598
-0.551,2.677
-0.551,2.756
-0.551,2.795
-0.551,2.874
-0.551,2.953
-0.551,3.031
-0.551,3.110
-0.551,3.189
-0.551,3.228
-0.551,3.268
-0.472,3.268
-0.551,3.346
-0.472,3.346
-0.472,3.386
-0.472,3.425
-0.472,3.425
-0.472,3.465
-0.472,3.504
-0.394,3.504
-0.394,3.504
-0.394,3.583
-0.394,3.583
-0.394,3.583
-0.315,3.661
-0.315,3.661
-0.315,3.583
-0.236,3.858
-0.236,3.740
-0.236,3.740
-0.315,3.858
-0.236,3.740
-0.236,3.819
-0.236,3.858
-0.236,3.858
-0.236,3.898
-0.157,3.819
-0.157,3.819
-0.157,3.819
-0.157,3.858
-0.157,3.819
-0.079,3.740
-0.079,3.661
-0.079,3.740
-0.079,3.740
-0.079,3.740
0.000,3.701
0.000,3.583
0.000,3.583
0.000,3.583
0.000,3.504
