; CSV, generated by libsigrok4DSL 0.2.0 on Fri May 14 15:11:44 2021
; Channels (2/2)
; Sample rate: 5 MHz
; Sample count: 10 k Samples
I[A], Uout[V]
8.819,12.402
8.819,12.402
8.819,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.976,12.402
8.976,12.402
8.976,12.402
8.976,12.402
8.976,12.402
8.976,12.402
9.055,12.402
8.976,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.134,12.402
9.055,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.134,12.598
9.134,12.402
9.213,12.402
9.134,12.795
9.134,12.795
9.134,12.402
9.134,12.402
9.055,12.795
9.055,12.402
9.134,12.598
9.055,12.795
9.134,12.598
9.055,12.598
9.134,12.598
9.055,12.598
9.134,12.795
9.055,12.598
9.055,12.598
9.055,12.598
9.055,12.598
8.976,12.598
9.055,12.598
8.976,12.598
9.134,12.795
9.055,12.795
9.055,12.598
8.976,12.795
9.055,12.795
9.055,12.402
8.976,12.402
8.976,12.402
9.055,12.598
8.976,12.402
8.976,12.402
8.976,12.402
8.976,12.402
8.976,12.402
8.976,12.402
8.976,12.402
8.976,12.598
8.898,12.795
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.598
8.898,12.598
8.898,12.598
8.898,12.598
8.819,12.598
8.819,12.795
8.740,12.598
8.740,12.598
8.740,12.795
8.740,12.795
8.740,12.795
8.740,12.795
8.740,12.795
8.661,12.795
8.661,12.795
8.661,12.795
8.583,12.795
8.583,12.795
8.583,12.795
8.504,12.795
8.425,12.795
8.504,12.795
8.425,12.795
8.346,12.795
8.268,12.795
8.268,12.795
8.268,12.795
8.268,12.795
8.189,12.795
8.110,12.598
8.031,12.795
7.953,12.795
7.953,12.795
7.874,12.598
7.795,12.598
7.795,12.402
7.717,12.598
7.717,12.795
7.638,12.402
7.638,12.795
7.480,12.402
7.559,12.598
7.480,12.598
7.402,12.402
7.402,12.402
7.323,12.598
7.244,12.598
7.165,12.402
7.165,12.598
7.165,12.598
7.008,12.598
7.008,12.795
7.008,12.598
6.929,12.795
7.008,12.795
6.929,12.598
6.850,12.795
6.772,12.795
6.772,12.795
6.772,12.598
6.693,12.795
6.693,12.795
6.693,12.795
6.614,12.795
6.614,12.795
6.614,12.795
6.535,12.795
6.457,12.795
6.457,12.795
6.457,12.795
